지역,2021,2022,2023
전국,18745089,19536122,20048566
서울특별시,4604970,4799599,4912805
부산광역시,1147189,1178343,1211854
대구광역시,719552,740837,764738
인천광역시,906850,940954,965317
광주광역시,502698,522309,532277
대전광역시,521930,542759,572721
울산광역시,423874,433975,443092
세종특별자치시,116777,125849,133096
경기도,4527647,4775206,4918001
강원특별자치도,508852,525907,539860
충청북도,616342,647074,664157
충청남도,808901,840680,853584
전북특별자치도,562231,577815,585501
전라남도,619914,644359,661228
경상북도,875915,907709,923144
경상남도,1073794,1114900,1142367
제주특별자치도,207653,217846,224827
