지역,산업분류,2021,2022,2023
서울특별시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",60089,60888,65028
서울특별시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",131279,138451,140773
부산광역시,B.광업(05~08),81,62,31
부산광역시,C.제조업(10~34),173727,174453,174916
부산광역시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",3857,4049,4048
부산광역시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",7072,7316,7389
부산광역시,F.건설업(41~42),91908,91628,86094
부산광역시,G.도매 및 소매업(45~47),151981,157215,163887
부산광역시,H.운수 및 창고업(49~52),71380,73033,74009
부산광역시,I.숙박 및 음식점업(55~56),76152,85650,95829
부산광역시,J.정보통신업(58~63),17213,18474,19628
부산광역시,K.금융 및 보험업(64~66),55712,57015,57509
부산광역시,L.부동산업(68),26970,28578,28753
부산광역시,"M.전문, 과학 및 기술 서비스업(70~73)",45918,47907,49941
부산광역시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",79563,81230,85617
부산광역시,"O.공공행정, 국방 및 사회보장 행정(84)",50398,52161,51763
부산광역시,P.교육 서비스업(85),90965,92598,92937
부산광역시,Q.보건업 및 사회복지 서비스업(86~87),158236,161515,172361
부산광역시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",17525,16939,18246
부산광역시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",28533,28518,28895
대구광역시,B.광업(05~08),33,27,48
대구광역시,C.제조업(10~34),134092,136515,136717
대구광역시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2759,2650,2660
대구광역시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",4130,4231,4372
대구광역시,F.건설업(41~42),48750,52167,52416
대구광역시,G.도매 및 소매업(45~47),95945,96367,97376
대구광역시,H.운수 및 창고업(49~52),21220,20998,22074
대구광역시,I.숙박 및 음식점업(55~56),40207,44038,50220
대구광역시,J.정보통신업(58~63),13152,14380,15262
대구광역시,K.금융 및 보험업(64~66),30084,30541,31635
대구광역시,L.부동산업(68),17493,18078,18714
대구광역시,"M.전문, 과학 및 기술 서비스업(70~73)",26393,27629,28843
대구광역시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",38605,39276,42301
대구광역시,"O.공공행정, 국방 및 사회보장 행정(84)",34540,34018,34710
대구광역시,P.교육 서비스업(85),73383,72753,72431
대구광역시,Q.보건업 및 사회복지 서비스업(86~87),108495,115884,123987
대구광역시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",8584,8963,9630
대구광역시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",21688,22323,21343
인천광역시,B.광업(05~08),502,466,375
인천광역시,C.제조업(10~34),220327,225518,225462
인천광역시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",4190,4021,4039
인천광역시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",7207,7509,7493
인천광역시,F.건설업(41~42),54603,56925,59871
인천광역시,G.도매 및 소매업(45~47),94228,98577,99180
인천광역시,H.운수 및 창고업(49~52),53206,54530,54906
인천광역시,I.숙박 및 음식점업(55~56),53751,57948,66026
인천광역시,J.정보통신업(58~63),10279,11953,12206
인천광역시,K.금융 및 보험업(64~66),29632,30006,29612
인천광역시,L.부동산업(68),17457,18477,18829
인천광역시,"M.전문, 과학 및 기술 서비스업(70~73)",36021,37581,38117
인천광역시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",52017,57232,60420
인천광역시,"O.공공행정, 국방 및 사회보장 행정(84)",41587,42577,44168
인천광역시,P.교육 서비스업(85),76265,74617,71854
인천광역시,Q.보건업 및 사회복지 서비스업(86~87),120181,126548,134138
인천광역시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",12909,12980,14850
인천광역시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",22489,23490,23770
광주광역시,B.광업(05~08),40,50,37
광주광역시,C.제조업(10~34),75889,78305,76645
광주광역시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",1398,1430,1401
광주광역시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2439,2485,2524
광주광역시,F.건설업(41~42),54376,59203,58060
광주광역시,G.도매 및 소매업(45~47),57522,57886,58828
광주광역시,H.운수 및 창고업(49~52),18245,17327,17336
광주광역시,I.숙박 및 음식점업(55~56),26070,28559,31911
광주광역시,J.정보통신업(58~63),10638,12083,10944
광주광역시,K.금융 및 보험업(64~66),21199,21858,23438
광주광역시,L.부동산업(68),16038,17452,17672
광주광역시,"M.전문, 과학 및 기술 서비스업(70~73)",18967,19824,21704
광주광역시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",26870,26493,28054
광주광역시,"O.공공행정, 국방 및 사회보장 행정(84)",22597,24042,23990
광주광역시,P.교육 서비스업(85),52201,50965,49536
광주광역시,Q.보건업 및 사회복지 서비스업(86~87),76174,81448,85427
광주광역시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",7317,7860,9131
광주광역시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",14719,15042,15640
대전광역시,B.광업(05~08),17,26,19
대전광역시,C.제조업(10~34),55353,57520,58931
대전광역시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",1728,1656,1478
대전광역시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",4104,4325,4091
대전광역시,F.건설업(41~42),44230,44517,51535
대전광역시,G.도매 및 소매업(45~47),62481,66710,70887
대전광역시,H.운수 및 창고업(49~52),17321,17023,17282
대전광역시,I.숙박 및 음식점업(55~56),28611,30456,35984
대전광역시,J.정보통신업(58~63),16180,18364,19856
대전광역시,K.금융 및 보험업(64~66),19500,20324,19381
대전광역시,L.부동산업(68),11359,11217,11361
대전광역시,"M.전문, 과학 및 기술 서비스업(70~73)",51362,53913,56854
대전광역시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",38477,41221,44301
대전광역시,"O.공공행정, 국방 및 사회보장 행정(84)",28683,29362,28509
대전광역시,P.교육 서비스업(85),54498,55425,56230
대전광역시,Q.보건업 및 사회복지 서비스업(86~87),66425,68536,72971
대전광역시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",7080,7418,7350
대전광역시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",14524,14747,15703
울산광역시,B.광업(05~08),271,258,193
울산광역시,C.제조업(10~34),163869,165860,164227
울산광역시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2436,2575,2680
울산광역시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2246,2551,2647
울산광역시,F.건설업(41~42),30985,30227,33312
울산광역시,G.도매 및 소매업(45~47),31738,33394,32709
울산광역시,H.운수 및 창고업(49~52),15817,15957,15946
울산광역시,I.숙박 및 음식점업(55~56),20623,21676,23799
울산광역시,J.정보통신업(58~63),3983,4322,4283
울산광역시,K.금융 및 보험업(64~66),12143,11583,12623
울산광역시,L.부동산업(68),6494,7324,7473
울산광역시,"M.전문, 과학 및 기술 서비스업(70~73)",16187,17437,18288
울산광역시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",18768,18704,18893
울산광역시,"O.공공행정, 국방 및 사회보장 행정(84)",16556,17408,17878
울산광역시,P.교육 서비스업(85),30436,29984,30932
울산광역시,Q.보건업 및 사회복지 서비스업(86~87),37951,40266,42504
울산광역시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",3997,4697,4984
울산광역시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",9377,9753,9721
세종특별자치시,B.광업(05~08),102,103,121
세종특별자치시,C.제조업(10~34),18971,20443,21540
세종특별자치시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",580,480,607
세종특별자치시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",671,677,729
세종특별자치시,F.건설업(41~42),6111,6740,6575
세종특별자치시,G.도매 및 소매업(45~47),6547,7088,7492
세종특별자치시,H.운수 및 창고업(49~52),3880,3783,3551
세종특별자치시,I.숙박 및 음식점업(55~56),7025,7054,7629
세종특별자치시,J.정보통신업(58~63),2048,2636,3048
세종특별자치시,K.금융 및 보험업(64~66),2211,2266,2698
세종특별자치시,L.부동산업(68),3739,3979,3777
세종특별자치시,"M.전문, 과학 및 기술 서비스업(70~73)",7518,8296,8928
세종특별자치시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4250,4550,5108
세종특별자치시,"O.공공행정, 국방 및 사회보장 행정(84)",22384,23982,24081
세종특별자치시,P.교육 서비스업(85),14730,15669,17542
세종특별자치시,Q.보건업 및 사회복지 서비스업(86~87),11485,12738,13642
세종특별자치시,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",2002,2394,2872
세종특별자치시,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",2522,2971,3157
경기도,B.광업(05~08),1454,1513,1557
경기도,C.제조업(10~34),1200412,1234198,1241381
경기도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",9183,9589,9307
경기도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",29657,32345,32683
경기도,F.건설업(41~42),260841,286739,283770
경기도,G.도매 및 소매업(45~47),552864,580899,595653
경기도,H.운수 및 창고업(49~52),166009,172681,185987
경기도,I.숙박 및 음식점업(55~56),241801,268813,295636
경기도,J.정보통신업(58~63),133884,151840,162982
경기도,K.금융 및 보험업(64~66),133453,137832,138896
경기도,L.부동산업(68),99158,107335,111518
경기도,"M.전문, 과학 및 기술 서비스업(70~73)",278256,304286,323967
경기도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",219426,240001,247346
경기도,"O.공공행정, 국방 및 사회보장 행정(84)",149092,154237,153129
경기도,P.교육 서비스업(85),409805,412304,417751
경기도,Q.보건업 및 사회복지 서비스업(86~87),448739,481062,509880
경기도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",85334,84713,87493
경기도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",108278,114819,119065
강원특별자치도,B.광업(05~08),4258,4185,4869
강원특별자치도,C.제조업(10~34),55198,55772,55316
강원특별자치도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",3447,3501,3601
강원특별자치도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5268,5517,5476
강원특별자치도,F.건설업(41~42),48113,53780,57379
강원특별자치도,G.도매 및 소매업(45~47),43403,44575,44670
강원특별자치도,H.운수 및 창고업(49~52),23436,22402,21655
강원특별자치도,I.숙박 및 음식점업(55~56),40005,41382,47901
강원특별자치도,J.정보통신업(58~63),7765,8274,8212
강원특별자치도,K.금융 및 보험업(64~66),26875,27515,27466
강원특별자치도,L.부동산업(68),9077,9919,9629
강원특별자치도,"M.전문, 과학 및 기술 서비스업(70~73)",16705,17803,18862
강원특별자치도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",21410,23235,22577
강원특별자치도,"O.공공행정, 국방 및 사회보장 행정(84)",45397,45479,45084
강원특별자치도,P.교육 서비스업(85),50749,51177,50330
강원특별자치도,Q.보건업 및 사회복지 서비스업(86~87),73208,75558,79335
강원특별자치도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",17839,18943,19745
강원특별자치도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",16700,16892,17753
충청북도,B.광업(05~08),1189,1085,1084
충청북도,C.제조업(10~34),207252,214963,218095
충청북도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",1437,1556,1514
충청북도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5512,5986,6309
충청북도,F.건설업(41~42),41053,46569,47364
충청북도,G.도매 및 소매업(45~47),59579,62510,61727
충청북도,H.운수 및 창고업(49~52),20654,20384,20539
충청북도,I.숙박 및 음식점업(55~56),26987,30968,34574
충청북도,J.정보통신업(58~63),6669,7014,7229
충청북도,K.금융 및 보험업(64~66),15457,15692,17007
충청북도,L.부동산업(68),9921,10207,9996
충청북도,"M.전문, 과학 및 기술 서비스업(70~73)",22721,24178,24283
충청북도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",28002,30338,31954
충청북도,"O.공공행정, 국방 및 사회보장 행정(84)",35405,35225,36402
충청북도,P.교육 서비스업(85),49019,50293,51017
충청북도,Q.보건업 및 사회복지 서비스업(86~87),63927,67299,71320
충청북도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",7693,8675,10058
충청북도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",13863,14133,13686
충청남도,B.광업(05~08),754,760,803
충청남도,C.제조업(10~34),291876,294839,295305
충청남도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",6867,6944,6774
충청남도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",6891,7220,7310
충청남도,F.건설업(41~42),59219,67116,68779
충청남도,G.도매 및 소매업(45~47),62795,65922,65977
충청남도,H.운수 및 창고업(49~52),24678,24739,25560
충청남도,I.숙박 및 음식점업(55~56),35530,39331,43664
충청남도,J.정보통신업(58~63),6101,6628,6653
충청남도,K.금융 및 보험업(64~66),22686,22679,22360
충청남도,L.부동산업(68),10547,11277,11886
충청남도,"M.전문, 과학 및 기술 서비스업(70~73)",23261,24677,25380
충청남도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",36360,37427,35825
충청남도,"O.공공행정, 국방 및 사회보장 행정(84)",42625,44723,44871
충청남도,P.교육 서비스업(85),64943,66651,67585
충청남도,Q.보건업 및 사회복지 서비스업(86~87),86471,91954,95624
충청남도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",8917,9279,10304
충청남도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",18381,18514,18922
전북특별자치도,B.광업(05~08),799,713,736
전북특별자치도,C.제조업(10~34),105225,107804,108240
전북특별자치도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2668,2701,2721
전북특별자치도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5180,5506,5584
전북특별자치도,F.건설업(41~42),44532,47457,47805
전북특별자치도,G.도매 및 소매업(45~47),52513,54915,55164
전북특별자치도,H.운수 및 창고업(49~52),20382,19990,20592
전북특별자치도,I.숙박 및 음식점업(55~56),29136,32653,34365
전북특별자치도,J.정보통신업(58~63),7226,7634,7580
전북특별자치도,K.금융 및 보험업(64~66),30969,30949,28069
전북특별자치도,L.부동산업(68),10341,10800,10694
전북특별자치도,"M.전문, 과학 및 기술 서비스업(70~73)",20819,22099,23558
전북특별자치도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",20218,20858,21606
전북특별자치도,"O.공공행정, 국방 및 사회보장 행정(84)",39541,41067,42502
전북특별자치도,P.교육 서비스업(85),56243,55264,54112
전북특별자치도,Q.보건업 및 사회복지 서비스업(86~87),89490,90292,93393
전북특별자치도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",9310,9803,11388
전북특별자치도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",17641,17310,17390
전라남도,B.광업(05~08),1010,967,913
전라남도,C.제조업(10~34),106890,111011,115463
전라남도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",7697,7520,7368
전라남도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",7244,7352,7366
전라남도,F.건설업(41~42),80714,84067,83145
전라남도,G.도매 및 소매업(45~47),56817,60950,62728
전라남도,H.운수 및 창고업(49~52),26895,27859,28420
전라남도,I.숙박 및 음식점업(55~56),29217,30681,34253
전라남도,J.정보통신업(58~63),7911,8514,8835
전라남도,K.금융 및 보험업(64~66),26851,27521,26150
전라남도,L.부동산업(68),8900,9257,9081
전라남도,"M.전문, 과학 및 기술 서비스업(70~73)",17036,19413,20585
전라남도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",25543,25197,25181
전라남도,"O.공공행정, 국방 및 사회보장 행정(84)",51961,54109,58489
전라남도,P.교육 서비스업(85),50474,50515,49000
전라남도,Q.보건업 및 사회복지 서비스업(86~87),85674,89552,93565
전라남도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",12174,12754,13464
전라남도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",16906,17120,17221
경상북도,B.광업(05~08),1084,1079,1144
경상북도,C.제조업(10~34),276291,284726,291273
경상북도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",7212,7430,7248
경상북도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",9638,10476,10430
경상북도,F.건설업(41~42),64815,64591,68349
경상북도,G.도매 및 소매업(45~47),69043,73253,70619
경상북도,H.운수 및 창고업(49~52),28026,27799,27754
경상북도,I.숙박 및 음식점업(55~56),37961,42656,46081
경상북도,J.정보통신업(58~63),8183,8708,9043
경상북도,K.금융 및 보험업(64~66),23991,23229,24026
경상북도,L.부동산업(68),11963,13309,12287
경상북도,"M.전문, 과학 및 기술 서비스업(70~73)",30203,31207,33141
경상북도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",27140,29023,29950
경상북도,"O.공공행정, 국방 및 사회보장 행정(84)",60135,61330,61411
경상북도,P.교육 서비스업(85),73964,75647,73647
경상북도,Q.보건업 및 사회복지 서비스업(86~87),109537,114123,119007
경상북도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",14638,15804,15099
경상북도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",22090,23317,22636
경상남도,B.광업(05~08),634,651,648
경상남도,C.제조업(10~34),357108,362189,371514
경상남도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",4465,4531,4284
경상남도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",9881,10484,10670
경상남도,F.건설업(41~42),68148,74181,75239
경상남도,G.도매 및 소매업(45~47),85478,88642,89399
경상남도,H.운수 및 창고업(49~52),33463,36191,38432
경상남도,I.숙박 및 음식점업(55~56),51117,57872,60026
경상남도,J.정보통신업(58~63),10160,10855,11468
경상남도,K.금융 및 보험업(64~66),41349,42563,43666
경상남도,L.부동산업(68),21628,22349,21701
경상남도,"M.전문, 과학 및 기술 서비스업(70~73)",33337,34700,36476
경상남도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",34653,36848,38040
경상남도,"O.공공행정, 국방 및 사회보장 행정(84)",60203,62829,64052
경상남도,P.교육 서비스업(85),92692,92374,92784
경상남도,Q.보건업 및 사회복지 서비스업(86~87),132043,138896,143732
경상남도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",12784,14169,15330
경상남도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",24653,24578,24907
제주특별자치도,B.광업(05~08),202,165,165
제주특별자치도,C.제조업(10~34),9483,9716,10026
제주특별자치도,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",1277,1249,1334
제주특별자치도,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1229,1354,1126
제주특별자치도,F.건설업(41~42),19152,20888,20394
제주특별자치도,G.도매 및 소매업(45~47),25511,26691,26155
제주특별자치도,H.운수 및 창고업(49~52),8997,9033,9116
제주특별자치도,I.숙박 및 음식점업(55~56),26418,29568,32280
제주특별자치도,J.정보통신업(58~63),5212,5066,4797
제주특별자치도,K.금융 및 보험업(64~66),10136,10320,11911
제주특별자치도,L.부동산업(68),4112,3944,3637
제주특별자치도,"M.전문, 과학 및 기술 서비스업(70~73)",7573,7861,7456
제주특별자치도,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",11784,11970,12797
제주특별자치도,"O.공공행정, 국방 및 사회보장 행정(84)",15642,17211,18629
제주특별자치도,P.교육 서비스업(85),18769,19501,19258
제주특별자치도,Q.보건업 및 사회복지 서비스업(86~87),25905,26386,28368
제주특별자치도,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",9411,9916,10227
제주특별자치도,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",6844,7007,7151
