지역,산업분류,2021,2022,2023
전국,B.광업(05~08),12519,12237,12887
전국,C.제조업(10~34),3638440,3721724,3750645
전국,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",67403,68185,67452
전국,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",118183,125624,126491
전국,F.건설업(41~42),1388367,1470340,1474682
전국,G.도매 및 소매업(45~47),2189294,2269063,2287993
전국,H.운수 및 창고업(49~52),717491,728219,750912
전국,I.숙박 및 음식점업(55~56),1030473,1129647,1254026
전국,J.정보통신업(58~63),685146,774394,804839
전국,K.금융 및 보험업(64~66),785022,807346,815345
전국,L.부동산업(68),411426,429903,436946
전국,"M.전문, 과학 및 기술 서비스업(70~73)",1162522,1250197,1309030
전국,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1152397,1201737,1258918
전국,"O.공공행정, 국방 및 사회보장 행정(84)",866496,898338,909999
전국,P.교육 서비스업(85),1614310,1614040,1614660
전국,Q.보건업 및 사회복지 서비스업(86~87),2117510,2219950,2330812
전국,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",297604,306194,325198
전국,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",490484,508984,517732
서울특별시,B.광업(05~08),90,129,144
서울특별시,C.제조업(10~34),186478,187892,185591
서울특별시,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",6202,6302,6388
서울특별시,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",9813,10289,10292
서울특별시,F.건설업(41~42),370817,383547,374596
서울특별시,G.도매 및 소매업(45~47),680848,693468,685542
서울특별시,H.운수 및 창고업(49~52),163885,164491,167752
서울특별시,I.숙박 및 음식점업(55~56),259865,280341,313848
서울특별시,J.정보통신업(58~63),418542,477650,492813
서울특별시,K.금융 및 보험업(64~66),282777,295453,298898
서울특별시,L.부동산업(68),126230,126402,129939
서울특별시,"M.전문, 과학 및 기술 서비스업(70~73)",510246,551385,572647
서울특별시,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",469313,478136,508949
서울특별시,"O.공공행정, 국방 및 사회보장 행정(84)",149751,158579,160330
서울특별시,P.교육 서비스업(85),355176,348302,347714
서울특별시,Q.보건업 및 사회복지 서비스업(86~87),423569,437893,451560
