region,year,total
전국,2021,18745089
서울특별시,2021,4604970
부산광역시,2021,1147189
대구광역시,2021,719552
인천광역시,2021,906850
광주광역시,2021,502698
대전광역시,2021,521930
울산광역시,2021,423874
세종특별자치시,2021,116777
경기도,2021,4527647
강원특별자치도,2021,508852
충청북도,2021,616342
충청남도,2021,808901
전북특별자치도,2021,562231
전라남도,2021,619914
경상북도,2021,875915
경상남도,2021,1073794
제주특별자치도,2021,207653
전국,2022,19536122
서울특별시,2022,4799599
부산광역시,2022,1178343
대구광역시,2022,740837
인천광역시,2022,940954
광주광역시,2022,522309
대전광역시,2022,542759
울산광역시,2022,433975
세종특별자치시,2022,125849
경기도,2022,4775206
강원특별자치도,2022,525907
충청북도,2022,647074
충청남도,2022,840680
전북특별자치도,2022,577815
전라남도,2022,644359
경상북도,2022,907709
경상남도,2022,1114900
제주특별자치도,2022,217846
전국,2023,20048566
서울특별시,2023,4912805
부산광역시,2023,1211854
대구광역시,2023,764738
인천광역시,2023,965317
광주광역시,2023,532277
대전광역시,2023,572721
울산광역시,2023,443092
세종특별자치시,2023,133096
경기도,2023,4918001
강원특별자치도,2023,539860
충청북도,2023,664157
충청남도,2023,853584
전북특별자치도,2023,585501
전라남도,2023,661228
경상북도,2023,923144
경상남도,2023,1142367
제주특별자치도,2023,224827
