region,year,income
서울,2021,59498
부산,2021,32832
대구,2021,31558
인천,2021,37828
광주,2021,34787
대전,2021,36934
울산,2021,57151
세종,2021,45005
경기,2021,44754
강원,2021,33317
충북,2021,40982
충남,2021,46639
전북,2021,34592
전남,2021,40067
경북,2021,37956
경남,2021,33986
제주,2021,36153
서울,2022,63778
부산,2022,34263
대구,2022,34000
인천,2022,39748
광주,2022,36826
대전,2022,39378
울산,2022,56854
세종,2022,46146
경기,2022,47144
강원,2022,35422
충북,2022,44535
충남,2022,48067
전북,2022,37379
전남,2022,36035
경북,2022,38168
경남,2022,35722
제주,2022,36865
서울,2023,65994
부산,2023,35373
대구,2023,34344
인천,2023,41203
광주,2023,38019
대전,2023,40976
울산,2023,60576
세종,2023,47220
경기,2023,47899
강원,2023,37509
충북,2023,45499
충남,2023,49838
전북,2023,36239
전남,2023,44838
경북,2023,41091
경남,2023,38879
제주,2023,36307
