year,gender,age,region,value
2021,남성,10대,총계,90227
2021,남성,20대,총계,4342722
2021,남성,30대,총계,25973845
2021,남성,40대,총계,46986633
2021,남성,50대,총계,53064649
2021,남성,60대,총계,41420976
2021,남성,70대,총계,13056083
2021,남성,80대~,총계,2517388
2022,남성,10대,총계,87033
2022,남성,20대,총계,4303247
2022,남성,30대,총계,25231321
2022,남성,40대,총계,46581272
2022,남성,50대,총계,53932526
2022,남성,60대,총계,43305535
2022,남성,70대,총계,13994646
2022,남성,80대~,총계,2710876
2023,남성,10대,총계,96663
2023,남성,20대,총계,5028047
2023,남성,30대,총계,26040909
2023,남성,40대,총계,46491891
2023,남성,50대,총계,54436002
2023,남성,60대,총계,44013781
2023,남성,70대,총계,14365840
2023,남성,80대~,총계,2661023
2021,여성,10대,총계,44517
2021,여성,20대,총계,2258599
2021,여성,30대,총계,10396812
2021,여성,40대,총계,17359735
2021,여성,50대,총계,19843565
2021,여성,60대,총계,12612159
2021,여성,70대,총계,2707738
2021,여성,80대~,총계,729543
2022,여성,10대,총계,42110
2022,여성,20대,총계,2265061
2022,여성,30대,총계,10472689
2022,여성,40대,총계,17365435
2022,여성,50대,총계,20577471
2022,여성,60대,총계,13539914
2022,여성,70대,총계,2994171
2022,여성,80대~,총계,731104
2023,여성,10대,총계,59631
2023,여성,20대,총계,2601677
2023,여성,30대,총계,10977977
2023,여성,40대,총계,17548994
2023,여성,50대,총계,21041306
2023,여성,60대,총계,13991938
2023,여성,70대,총계,3115320
2023,여성,80대~,총계,683320
2021,남성,10대,서울,17058
2021,남성,20대,서울,416358
2021,남성,30대,서울,3632430
2021,남성,40대,서울,6093427
2021,남성,50대,서울,6416570
2021,남성,60대,서울,5198612
2021,남성,70대,서울,1892549
2021,남성,80대~,서울,405007
2022,남성,10대,서울,18001
2022,남성,20대,서울,403168
2022,남성,30대,서울,3462762
2022,남성,40대,서울,6003961
2022,남성,50대,서울,6445520
2022,남성,60대,서울,5299283
2022,남성,70대,서울,2002086
2022,남성,80대~,서울,434683
2023,남성,10대,서울,21208
2023,남성,20대,서울,478593
2023,남성,30대,서울,3530326
2023,남성,40대,서울,5940692
2023,남성,50대,서울,6441973
2023,남성,60대,서울,5286368
2023,남성,70대,서울,2018690
2023,남성,80대~,서울,424507
2021,여성,10대,서울,7103
2021,여성,20대,서울,221446
2021,여성,30대,서울,1387816
2021,여성,40대,서울,2238070
2021,여성,50대,서울,2355327
2021,여성,60대,서울,1618933
2021,여성,70대,서울,440132
2021,여성,80대~,서울,119122
2022,여성,10대,서울,7362
2022,여성,20대,서울,219873
2022,여성,30대,서울,1375878
2022,여성,40대,서울,2225384
2022,여성,50대,서울,2405859
2022,여성,60대,서울,1675166
2022,여성,70대,서울,476087
2022,여성,80대~,서울,123475
2023,여성,10대,서울,10590
2023,여성,20대,서울,253203
2023,여성,30대,서울,1425772
2023,여성,40대,서울,2224673
2023,여성,50대,서울,2423345
2023,여성,60대,서울,1686670
2023,여성,70대,서울,484376
2023,여성,80대~,서울,116353
2021,남성,10대,부산,5317
2021,남성,20대,부산,219939
2021,남성,30대,부산,1417702
2021,남성,40대,부산,2534507
2021,남성,50대,부산,2708371
2021,남성,60대,부산,2438135
2021,남성,70대,부산,803064
2021,남성,80대~,부산,136222
2022,남성,10대,부산,5226
2022,남성,20대,부산,212796
2022,남성,30대,부산,1372626
2022,남성,40대,부산,2522494
2022,남성,50대,부산,2722834
2022,남성,60대,부산,2492720
2022,남성,70대,부산,846537
2022,남성,80대~,부산,147060
2023,남성,10대,부산,5886
2023,남성,20대,부산,246697
2023,남성,30대,부산,1407316
2023,남성,40대,부산,2511987
2023,남성,50대,부산,2725368
2023,남성,60대,부산,2476120
2023,남성,70대,부산,859461
2023,남성,80대~,부산,144256
2021,여성,10대,부산,2923
2021,여성,20대,부산,105588
2021,여성,30대,부산,541222
2021,여성,40대,부산,936805
2021,여성,50대,부산,1054844
2021,여성,60대,부산,733456
2021,여성,70대,부산,160568
2021,여성,80대~,부산,38512
2022,여성,10대,부산,2832
2022,여성,20대,부산,104369
2022,여성,30대,부산,540124
2022,여성,40대,부산,934855
2022,여성,50대,부산,1080581
2022,여성,60대,부산,767706
2022,여성,70대,부산,176293
2022,여성,80대~,부산,38637
2023,여성,10대,부산,3078
2023,여성,20대,부산,118947
2023,여성,30대,부산,562690
2023,여성,40대,부산,940616
2023,여성,50대,부산,1095514
2023,여성,60대,부산,778896
2023,여성,70대,부산,179383
2023,여성,80대~,부산,36166
2021,남성,10대,대구,2407
2021,남성,20대,대구,205874
2021,남성,30대,대구,1228152
2021,남성,40대,대구,2280011
2021,남성,50대,대구,2728342
2021,남성,60대,대구,2077362
2021,남성,70대,대구,664962
2021,남성,80대~,대구,122545
2022,남성,10대,대구,1961
2022,남성,20대,대구,198516
2022,남성,30대,대구,1186090
2022,남성,40대,대구,2246517
2022,남성,50대,대구,2733783
2022,남성,60대,대구,2135145
2022,남성,70대,대구,700863
2022,남성,80대~,대구,130987
2023,남성,10대,대구,2061
2023,남성,20대,대구,228128
2023,남성,30대,대구,1225695
2023,남성,40대,대구,2236004
2023,남성,50대,대구,2758554
2023,남성,60대,대구,2172965
2023,남성,70대,대구,717091
2023,남성,80대~,대구,129111
2021,여성,10대,대구,1202
2021,여성,20대,대구,107552
2021,여성,30대,대구,482966
2021,여성,40대,대구,863294
2021,여성,50대,대구,1062776
2021,여성,60대,대구,648984
2021,여성,70대,대구,143849
2021,여성,80대~,대구,32281
2022,여성,10대,대구,1117
2022,여성,20대,대구,106296
2022,여성,30대,대구,479443
2022,여성,40대,대구,854097
2022,여성,50대,대구,1088345
2022,여성,60대,대구,688286
2022,여성,70대,대구,157786
2022,여성,80대~,대구,32369
2023,여성,10대,대구,1206
2023,여성,20대,대구,121992
2023,여성,30대,대구,504274
2023,여성,40대,대구,858599
2023,여성,50대,대구,1114313
2023,여성,60대,대구,714764
2023,여성,70대,대구,162402
2023,여성,80대~,대구,30461
2021,남성,10대,인천,4682
2021,남성,20대,인천,271901
2021,남성,30대,인천,1541882
2021,남성,40대,인천,2594560
2021,남성,50대,인천,2781800
2021,남성,60대,인천,2086122
2021,남성,70대,인천,533464
2021,남성,80대~,인천,86668
2022,남성,10대,인천,4545
2022,남성,20대,인천,263633
2022,남성,30대,인천,1536689
2022,남성,40대,인천,2618009
2022,남성,50대,인천,2824340
2022,남성,60대,인천,2212286
2022,남성,70대,인천,580786
2022,남성,80대~,인천,94217
2023,남성,10대,인천,5016
2023,남성,20대,인천,302949
2023,남성,30대,인천,1619496
2023,남성,40대,인천,2661637
2023,남성,50대,인천,2854966
2023,남성,60대,인천,2262041
2023,남성,70대,인천,602754
2023,남성,80대~,인천,92677
2021,여성,10대,인천,2818
2021,여성,20대,인천,132191
2021,여성,30대,인천,607468
2021,여성,40대,인천,972824
2021,여성,50대,인천,1084233
2021,여성,60대,인천,650011
2021,여성,70대,인천,114509
2021,여성,80대~,인천,29016
2022,여성,10대,인천,2594
2022,여성,20대,인천,131436
2022,여성,30대,인천,624106
2022,여성,40대,인천,983424
2022,여성,50대,인천,1128607
2022,여성,60대,인천,705587
2022,여성,70대,인천,127834
2022,여성,80대~,인천,29536
2023,여성,10대,인천,13941
2023,여성,20대,인천,148560
2023,여성,30대,인천,664345
2023,여성,40대,인천,1010188
2023,여성,50대,인천,1155215
2023,여성,60대,인천,732432
2023,여성,70대,인천,134724
2023,여성,80대~,인천,27724
2021,남성,10대,광주,1847
2021,남성,20대,광주,153763
2021,남성,30대,광주,768329
2021,남성,40대,광주,1413550
2021,남성,50대,광주,1565346
2021,남성,60대,광주,1017719
2021,남성,70대,광주,319584
2021,남성,80대~,광주,57309
2022,남성,10대,광주,1628
2022,남성,20대,광주,153802
2022,남성,30대,광주,744435
2022,남성,40대,광주,1397621
2022,남성,50대,광주,1580355
2022,남성,60대,광주,1070680
2022,남성,70대,광주,335880
2022,남성,80대~,광주,59652
2023,남성,10대,광주,1676
2023,남성,20대,광주,179185
2023,남성,30대,광주,764460
2023,남성,40대,광주,1388273
2023,남성,50대,광주,1592087
2023,남성,60대,광주,1085188
2023,남성,70대,광주,338962
2023,남성,80대~,광주,58436
2021,여성,10대,광주,920
2021,여성,20대,광주,97888
2021,여성,30대,광주,378033
2021,여성,40대,광주,602734
2021,여성,50대,광주,644565
2021,여성,60대,광주,341998
2021,여성,70대,광주,71957
2021,여성,80대~,광주,19568
2022,여성,10대,광주,778
2022,여성,20대,광주,99914
2022,여성,30대,광주,382787
2022,여성,40대,광주,600456
2022,여성,50대,광주,670162
2022,여성,60대,광주,372131
2022,여성,70대,광주,78389
2022,여성,80대~,광주,18600
2023,여성,10대,광주,893
2023,여성,20대,광주,114493
2023,여성,30대,광주,396555
2023,여성,40대,광주,605504
2023,여성,50대,광주,688375
2023,여성,60대,광주,383260
2023,여성,70대,광주,81082
2023,여성,80대~,광주,17034
2021,남성,10대,대전,3332
2021,남성,20대,대전,147217
2021,남성,30대,대전,802243
2021,남성,40대,대전,1363297
2021,남성,50대,대전,1556245
2021,남성,60대,대전,1158640
2021,남성,70대,대전,337157
2021,남성,80대~,대전,61992
2022,남성,10대,대전,2950
2022,남성,20대,대전,146585
2022,남성,30대,대전,783356
2022,남성,40대,대전,1338903
2022,남성,50대,대전,1582659
2022,남성,60대,대전,1189479
2022,남성,70대,대전,359635
2022,남성,80대~,대전,65514
2023,남성,10대,대전,2968
2023,남성,20대,대전,173294
2023,남성,30대,대전,809268
2023,남성,40대,대전,1331216
2023,남성,50대,대전,1587400
2023,남성,60대,대전,1199443
2023,남성,70대,대전,366719
2023,남성,80대~,대전,63118
2021,여성,10대,대전,1811
2021,여성,20대,대전,84218
2021,여성,30대,대전,339104
2021,여성,40대,대전,558497
2021,여성,50대,대전,616766
2021,여성,60대,대전,370899
2021,여성,70대,대전,72848
2021,여성,80대~,대전,21275
2022,여성,10대,대전,1556
2022,여성,20대,대전,83722
2022,여성,30대,대전,344777
2022,여성,40대,대전,549965
2022,여성,50대,대전,637264
2022,여성,60대,대전,393987
2022,여성,70대,대전,79236
2022,여성,80대~,대전,20137
2023,여성,10대,대전,1536
2023,여성,20대,대전,96937
2023,여성,30대,대전,363369
2023,여성,40대,대전,551115
2023,여성,50대,대전,648674
2023,여성,60대,대전,404413
2023,여성,70대,대전,81835
2023,여성,80대~,대전,18208
2021,남성,10대,울산,2295
2021,남성,20대,울산,108355
2021,남성,30대,울산,641630
2021,남성,40대,울산,1198393
2021,남성,50대,울산,1522730
2021,남성,60대,울산,1164417
2021,남성,70대,울산,282342
2021,남성,80대~,울산,36250
2022,남성,10대,울산,2119
2022,남성,20대,울산,107735
2022,남성,30대,울산,614027
2022,남성,40대,울산,1185892
2022,남성,50대,울산,1502295
2022,남성,60대,울산,1217996
2022,남성,70대,울산,310284
2022,남성,80대~,울산,39879
2023,남성,10대,울산,2171
2023,남성,20대,울산,129438
2023,남성,30대,울산,629466
2023,남성,40대,울산,1181039
2023,남성,50대,울산,1500848
2023,남성,60대,울산,1242294
2023,남성,70대,울산,319715
2023,남성,80대~,울산,39874
2021,여성,10대,울산,995
2021,여성,20대,울산,50652
2021,여성,30대,울산,225645
2021,여성,40대,울산,389067
2021,여성,50대,울산,439903
2021,여성,60대,울산,261378
2021,여성,70대,울산,46157
2021,여성,80대~,울산,10967
2022,여성,10대,울산,853
2022,여성,20대,울산,50423
2022,여성,30대,울산,225513
2022,여성,40대,울산,385806
2022,여성,50대,울산,457350
2022,여성,60대,울산,280275
2022,여성,70대,울산,51805
2022,여성,80대~,울산,10609
2023,여성,10대,울산,834
2023,여성,20대,울산,57789
2023,여성,30대,울산,237067
2023,여성,40대,울산,388845
2023,여성,50대,울산,466030
2023,여성,60대,울산,289825
2023,여성,70대,울산,54627
2023,여성,80대~,울산,9968
2021,남성,10대,세종,921
2021,남성,20대,세종,26701
2021,남성,30대,세종,267633
2021,남성,40대,세종,509476
2021,남성,50대,세종,381614
2021,남성,60대,세종,238529
2021,남성,70대,세종,61793
2021,남성,80대~,세종,10701
2022,남성,10대,세종,845
2022,남성,20대,세종,27195
2022,남성,30대,세종,264987
2022,남성,40대,세종,527890
2022,남성,50대,세종,416296
2022,남성,60대,세종,255930
2022,남성,70대,세종,67526
2022,남성,80대~,세종,11212
2023,남성,10대,세종,830
2023,남성,20대,세종,32259
2023,남성,30대,세종,273308
2023,남성,40대,세종,531314
2023,남성,50대,세종,427698
2023,남성,60대,세종,260878
2023,남성,70대,세종,71341
2023,남성,80대~,세종,11164
2021,여성,10대,세종,458
2021,여성,20대,세종,18808
2021,여성,30대,세종,128278
2021,여성,40대,세종,190710
2021,여성,50대,세종,135152
2021,여성,60대,세종,74286
2021,여성,70대,세종,13069
2021,여성,80대~,세종,3550
2022,여성,10대,세종,356
2022,여성,20대,세종,19062
2022,여성,30대,세종,131517
2022,여성,40대,세종,203130
2022,여성,50대,세종,148735
2022,여성,60대,세종,81940
2022,여성,70대,세종,14942
2022,여성,80대~,세종,3407
2023,여성,10대,세종,386
2023,여성,20대,세종,22131
2023,여성,30대,세종,138940
2023,여성,40대,세종,208372
2023,여성,50대,세종,153967
2023,여성,60대,세종,85177
2023,여성,70대,세종,15645
2023,여성,80대~,세종,3086
2021,남성,10대,경기,25801
2021,남성,20대,경기,1191741
2021,남성,30대,경기,7573863
2021,남성,40대,경기,13313930
2021,남성,50대,경기,13665324
2021,남성,60대,경기,9454747
2021,남성,70대,경기,2602981
2021,남성,80대~,경기,534623
2022,남성,10대,경기,24764
2022,남성,20대,경기,1181171
2022,남성,30대,경기,7453177
2022,남성,40대,경기,13356185
2022,남성,50대,경기,14080145
2022,남성,60대,경기,10053321
2022,남성,70대,경기,2832411
2022,남성,80대~,경기,578441
2023,남성,10대,경기,27175
2023,남성,20대,경기,1387730
2023,남성,30대,경기,7741854
2023,남성,40대,경기,13383611
2023,남성,50대,경기,14239941
2023,남성,60대,경기,10318101
2023,남성,70대,경기,2935516
2023,남성,80대~,경기,569166
2021,여성,10대,경기,12312
2021,여성,20대,경기,597489
2021,여성,30대,경기,2918335
2021,여성,40대,경기,4827086
2021,여성,50대,경기,5300669
2021,여성,60대,경기,3093147
2021,여성,70대,경기,647448
2021,여성,80대~,경기,165446
2022,여성,10대,경기,12009
2022,여성,20대,경기,598441
2022,여성,30대,경기,2969704
2022,여성,40대,경기,4852879
2022,여성,50대,경기,5545461
2022,여성,60대,경기,3363316
2022,여성,70대,경기,719963
2022,여성,80대~,경기,171218
2023,여성,10대,경기,13309
2023,여성,20대,경기,687270
2023,여성,30대,경기,3128699
2023,여성,40대,경기,4915668
2023,여성,50대,경기,5678947
2023,여성,60대,경기,3500573
2023,여성,70대,경기,751007
2023,여성,80대~,경기,163988
2021,남성,10대,강원,2173
2021,남성,20대,강원,174662
2021,남성,30대,강원,766837
2021,남성,40대,강원,1426672
2021,남성,50대,강원,1885496
2021,남성,60대,강원,1713911
2021,남성,70대,강원,566978
2021,남성,80대~,강원,130090
2022,남성,10대,강원,2051
2022,남성,20대,강원,176603
2022,남성,30대,강원,756729
2022,남성,40대,강원,1393392
2022,남성,50대,강원,1922635
2022,남성,60대,강원,1791466
2022,남성,70대,강원,608327
2022,남성,80대~,강원,142103
2023,남성,10대,강원,2345
2023,남성,20대,강원,204070
2023,남성,30대,강원,785045
2023,남성,40대,강원,1385588
