region,industry_category,year,number_of_employees,industry_code
총계,광업,2021,12519,B
총계,제조업,2021,3638440,C
총계,"전기, 가스, 증기 및 공기 조절 공급업",2021,67403,D
총계,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,118183,E
총계,건설업,2021,1388367,F
총계,도매 및 소매업,2021,2189294,G
총계,운수 및 창고업,2021,717491,H
총계,숙박 및 음식점업,2021,1030473,I
총계,정보통신업,2021,685146,J
총계,금융 및 보험업,2021,785022,K
총계,부동산업,2021,411426,L
총계,"전문, 과학 및 기술 서비스업",2021,1162522,M
총계,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,1152397,N
총계,"공공행정, 국방 및 사회보장 행정",2021,866496,O
총계,교육 서비스업,2021,1614310,P
총계,보건업 및 사회복지 서비스업,2021,2117510,Q
총계,"예술, 스포츠 및 여가관련 서비스업",2021,297604,R
총계,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,490484,S
서울,광업,2021,90,B
서울,제조업,2021,186478,C
서울,"전기, 가스, 증기 및 공기 조절 공급업",2021,6202,D
서울,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,9813,E
서울,건설업,2021,370817,F
서울,도매 및 소매업,2021,680848,G
서울,운수 및 창고업,2021,163885,H
서울,숙박 및 음식점업,2021,259865,I
서울,정보통신업,2021,418542,J
서울,금융 및 보험업,2021,282777,K
서울,부동산업,2021,126230,L
서울,"전문, 과학 및 기술 서비스업",2021,510246,M
서울,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,469313,N
서울,"공공행정, 국방 및 사회보장 행정",2021,149751,O
서울,교육 서비스업,2021,355176,P
서울,보건업 및 사회복지 서비스업,2021,423569,Q
서울,"예술, 스포츠 및 여가관련 서비스업",2021,60089,R
서울,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,131279,S
부산,광업,2021,81,B
부산,제조업,2021,173727,C
부산,"전기, 가스, 증기 및 공기 조절 공급업",2021,3857,D
부산,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,7072,E
부산,건설업,2021,91908,F
부산,도매 및 소매업,2021,151981,G
부산,운수 및 창고업,2021,71380,H
부산,숙박 및 음식점업,2021,76152,I
부산,정보통신업,2021,17213,J
부산,금융 및 보험업,2021,55712,K
부산,부동산업,2021,26970,L
부산,"전문, 과학 및 기술 서비스업",2021,45918,M
