region,industry_category,year,number_of_employees,industry_code
부산,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,79563,N
부산,"공공행정, 국방 및 사회보장 행정",2021,50398,O
부산,교육 서비스업,2021,90965,P
부산,보건업 및 사회복지 서비스업,2021,158236,Q
부산,"예술, 스포츠 및 여가관련 서비스업",2021,17525,R
부산,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,28533,S
대구,광업,2021,33,B
대구,제조업,2021,134092,C
대구,"전기, 가스, 증기 및 공기 조절 공급업",2021,2759,D
대구,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,4130,E
대구,건설업,2021,48750,F
대구,도매 및 소매업,2021,95945,G
대구,운수 및 창고업,2021,21220,H
대구,숙박 및 음식점업,2021,40207,I
대구,정보통신업,2021,13152,J
대구,금융 및 보험업,2021,30084,K
대구,부동산업,2021,17493,L
대구,"전문, 과학 및 기술 서비스업",2021,26393,M
대구,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,38605,N
대구,"공공행정, 국방 및 사회보장 행정",2021,34540,O
대구,교육 서비스업,2021,73383,P
대구,보건업 및 사회복지 서비스업,2021,108495,Q
대구,"예술, 스포츠 및 여가관련 서비스업",2021,8584,R
대구,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,21688,S
인천,광업,2021,502,B
인천,제조업,2021,220327,C
인천,"전기, 가스, 증기 및 공기 조절 공급업",2021,4190,D
인천,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,7207,E
인천,건설업,2021,54603,F
인천,도매 및 소매업,2021,94228,G
인천,운수 및 창고업,2021,53206,H
인천,숙박 및 음식점업,2021,53751,I
인천,정보통신업,2021,10279,J
인천,금융 및 보험업,2021,29632,K
인천,부동산업,2021,17457,L
인천,"전문, 과학 및 기술 서비스업",2021,36021,M
인천,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,52017,N
인천,"공공행정, 국방 및 사회보장 행정",2021,41587,O
인천,교육 서비스업,2021,76265,P
인천,보건업 및 사회복지 서비스업,2021,120181,Q
인천,"예술, 스포츠 및 여가관련 서비스업",2021,12909,R
인천,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,22489,S
광주,광업,2021,40,B
광주,제조업,2021,75889,C
광주,"전기, 가스, 증기 및 공기 조절 공급업",2021,1398,D
광주,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,2439,E
광주,건설업,2021,54376,F
광주,도매 및 소매업,2021,57522,G
광주,운수 및 창고업,2021,18245,H
광주,숙박 및 음식점업,2021,26070,I
광주,정보통신업,2021,10638,J
광주,금융 및 보험업,2021,21199,K
광주,부동산업,2021,16038,L
광주,"전문, 과학 및 기술 서비스업",2021,18967,M
광주,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,26870,N
광주,"공공행정, 국방 및 사회보장 행정",2021,22597,O
광주,교육 서비스업,2021,52201,P
광주,보건업 및 사회복지 서비스업,2021,76174,Q
광주,"예술, 스포츠 및 여가관련 서비스업",2021,7317,R
광주,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,14719,S
대전,광업,2021,17,B
대전,제조업,2021,55353,C
대전,"전기, 가스, 증기 및 공기 조절 공급업",2021,1728,D
대전,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,4104,E
대전,건설업,2021,44230,F
대전,도매 및 소매업,2021,62481,G
대전,운수 및 창고업,2021,17321,H
대전,숙박 및 음식점업,2021,28611,I
대전,정보통신업,2021,16180,J
대전,금융 및 보험업,2021,19500,K
대전,부동산업,2021,11359,L
대전,"전문, 과학 및 기술 서비스업",2021,51362,M
대전,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,38477,N
대전,"공공행정, 국방 및 사회보장 행정",2021,28683,O
대전,교육 서비스업,2021,54498,P
대전,보건업 및 사회복지 서비스업,2021,66425,Q
대전,"예술, 스포츠 및 여가관련 서비스업",2021,7080,R
대전,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,14524,S
울산,광업,2021,271,B
울산,제조업,2021,163869,C
울산,"전기, 가스, 증기 및 공기 조절 공급업",2021,2436,D
울산,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,2246,E
울산,건설업,2021,30985,F
울산,도매 및 소매업,2021,31738,G
울산,운수 및 창고업,2021,15817,H
울산,숙박 및 음식점업,2021,20623,I
울산,정보통신업,2021,3983,J
울산,금융 및 보험업,2021,12143,K
울산,부동산업,2021,6494,L
울산,"전문, 과학 및 기술 서비스업",2021,16187,M
울산,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,18768,N
울산,"공공행정, 국방 및 사회보장 행정",2021,16556,O
울산,교육 서비스업,2021,30436,P
울산,보건업 및 사회복지 서비스업,2021,37951,Q
울산,"예술, 스포츠 및 여가관련 서비스업",2021,3997,R
울산,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,9377,S
세종,광업,2021,102,B
세종,제조업,2021,18971,C
세종,"전기, 가스, 증기 및 공기 조절 공급업",2021,580,D
세종,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,671,E
세종,건설업,2021,6111,F
세종,도매 및 소매업,2021,6547,G
세종,운수 및 창고업,2021,3880,H
세종,숙박 및 음식점업,2021,7025,I
세종,정보통신업,2021,2048,J
세종,금융 및 보험업,2021,2211,K
세종,부동산업,2021,3739,L
세종,"전문, 과학 및 기술 서비스업",2021,7518,M
세종,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,4250,N
세종,"공공행정, 국방 및 사회보장 행정",2021,22384,O
세종,교육 서비스업,2021,14730,P
세종,보건업 및 사회복지 서비스업,2021,11485,Q
세종,"예술, 스포츠 및 여가관련 서비스업",2021,2002,R
세종,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,2522,S
경기,광업,2021,1454,B
경기,제조업,2021,1200412,C
경기,"전기, 가스, 증기 및 공기 조절 공급업",2021,9183,D
경기,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,29657,E
경기,건설업,2021,260841,F
경기,도매 및 소매업,2021,552864,G
경기,운수 및 창고업,2021,166009,H
경기,숙박 및 음식점업,2021,241801,I
경기,정보통신업,2021,133884,J
경기,금융 및 보험업,2021,133453,K
경기,부동산업,2021,99158,L
경기,"전문, 과학 및 기술 서비스업",2021,278256,M
경기,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,219426,N
경기,"공공행정, 국방 및 사회보장 행정",2021,149092,O
경기,교육 서비스업,2021,409805,P
경기,보건업 및 사회복지 서비스업,2021,448739,Q
경기,"예술, 스포츠 및 여가관련 서비스업",2021,85334,R
경기,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,108278,S
강원,광업,2021,4258,B
강원,제조업,2021,55198,C
강원,"전기, 가스, 증기 및 공기 조절 공급업",2021,3447,D
강원,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,5268,E
강원,건설업,2021,48113,F
강원,도매 및 소매업,2021,43403,G
강원,운수 및 창고업,2021,23436,H
강원,숙박 및 음식점업,2021,40005,I
강원,정보통신업,2021,7765,J
강원,금융 및 보험업,2021,26875,K
강원,부동산업,2021,9077,L
강원,"전문, 과학 및 기술 서비스업",2021,16705,M
강원,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,21410,N
강원,"공공행정, 국방 및 사회보장 행정",2021,45397,O
강원,교육 서비스업,2021,50749,P
강원,보건업 및 사회복지 서비스업,2021,73208,Q
강원,"예술, 스포츠 및 여가관련 서비스업",2021,17839,R
강원,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,16700,S
충북,광업,2021,1189,B
충북,제조업,2021,207252,C
충북,"전기, 가스, 증기 및 공기 조절 공급업",2021,1437,D
충북,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,5512,E
충북,건설업,2021,41053,F
충북,도매 및 소매업,2021,59579,G
충북,운수 및 창고업,2021,20654,H
충북,숙박 및 음식점업,2021,26987,I
충북,정보통신업,2021,6669,J
충북,금융 및 보험업,2021,15457,K
충북,부동산업,2021,9921,L
충북,"전문, 과학 및 기술 서비스업",2021,22721,M
충북,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,28002,N
충북,"공공행정, 국방 및 사회보장 행정",2021,35405,O
충북,교육 서비스업,2021,49019,P
충북,보건업 및 사회복지 서비스업,2021,63927,Q
충북,"예술, 스포츠 및 여가관련 서비스업",2021,7693,R
충북,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,13863,S
충남,광업,2021,754,B
충남,제조업,2021,291876,C
충남,"전기, 가스, 증기 및 공기 조절 공급업",2021,6867,D
충남,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,6891,E
충남,건설업,2021,59219,F
충남,도매 및 소매업,2021,62795,G
충남,운수 및 창고업,2021,24678,H
충남,숙박 및 음식점업,2021,35530,I
충남,정보통신업,2021,6101,J
충남,금융 및 보험업,2021,22686,K
충남,부동산업,2021,10547,L
충남,"전문, 과학 및 기술 서비스업",2021,23261,M
충남,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,36360,N
충남,"공공행정, 국방 및 사회보장 행정",2021,42625,O
충남,교육 서비스업,2021,64943,P
충남,보건업 및 사회복지 서비스업,2021,86471,Q
충남,"예술, 스포츠 및 여가관련 서비스업",2021,8917,R
충남,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,18381,S
전북,광업,2021,799,B
전북,제조업,2021,105225,C
전북,"전기, 가스, 증기 및 공기 조절 공급업",2021,2668,D
전북,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,5180,E
전북,건설업,2021,44532,F
전북,도매 및 소매업,2021,52513,G
전북,운수 및 창고업,2021,20382,H
전북,숙박 및 음식점업,2021,29136,I
전북,정보통신업,2021,7226,J
전북,금융 및 보험업,2021,30969,K
전북,부동산업,2021,10341,L
전북,"전문, 과학 및 기술 서비스업",2021,20819,M
전북,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,20218,N
전북,"공공행정, 국방 및 사회보장 행정",2021,39541,O
전북,교육 서비스업,2021,56243,P
전북,보건업 및 사회복지 서비스업,2021,89490,Q
전북,"예술, 스포츠 및 여가관련 서비스업",2021,9310,R
전북,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,17641,S
전남,광업,2021,1010,B
전남,제조업,2021,106890,C
전남,"전기, 가스, 증기 및 공기 조절 공급업",2021,7697,D
전남,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,7244,E
전남,건설업,2021,80714,F
전남,도매 및 소매업,2021,56817,G
전남,운수 및 창고업,2021,26895,H
전남,숙박 및 음식점업,2021,29217,I
전남,정보통신업,2021,7911,J
전남,금융 및 보험업,2021,26851,K
전남,부동산업,2021,8900,L
전남,"전문, 과학 및 기술 서비스업",2021,17036,M
전남,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,25543,N
전남,"공공행정, 국방 및 사회보장 행정",2021,51961,O
전남,교육 서비스업,2021,50474,P
전남,보건업 및 사회복지 서비스업,2021,85674,Q
전남,"예술, 스포츠 및 여가관련 서비스업",2021,12174,R
전남,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,16906,S
경북,광업,2021,1084,B
경북,제조업,2021,276291,C
경북,"전기, 가스, 증기 및 공기 조절 공급업",2021,7212,D
경북,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,9638,E
경북,건설업,2021,64815,F
경북,도매 및 소매업,2021,69043,G
경북,운수 및 창고업,2021,28026,H
경북,숙박 및 음식점업,2021,37961,I
경북,정보통신업,2021,8183,J
경북,금융 및 보험업,2021,23991,K
경북,부동산업,2021,11963,L
경북,"전문, 과학 및 기술 서비스업",2021,30203,M
경북,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,27140,N
경북,"공공행정, 국방 및 사회보장 행정",2021,60135,O
경북,교육 서비스업,2021,73964,P
경북,보건업 및 사회복지 서비스업,2021,109537,Q
경북,"예술, 스포츠 및 여가관련 서비스업",2021,14638,R
경북,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,22090,S
경남,광업,2021,634,B
경남,제조업,2021,357108,C
경남,"전기, 가스, 증기 및 공기 조절 공급업",2021,4465,D
경남,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,9881,E
경남,건설업,2021,68148,F
경남,도매 및 소매업,2021,85478,G
경남,운수 및 창고업,2021,33463,H
경남,숙박 및 음식점업,2021,51117,I
경남,정보통신업,2021,10160,J
경남,금융 및 보험업,2021,41349,K
경남,부동산업,2021,21628,L
경남,"전문, 과학 및 기술 서비스업",2021,33337,M
경남,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,34653,N
경남,"공공행정, 국방 및 사회보장 행정",2021,60203,O
경남,교육 서비스업,2021,92692,P
경남,보건업 및 사회복지 서비스업,2021,132043,Q
경남,"예술, 스포츠 및 여가관련 서비스업",2021,12784,R
경남,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,24653,S
제주,광업,2021,202,B
제주,제조업,2021,9483,C
제주,"전기, 가스, 증기 및 공기 조절 공급업",2021,1277,D
제주,"수도, 하수 및 폐기물 처리, 원료 재생업",2021,1229,E
제주,건설업,2021,19152,F
제주,도매 및 소매업,2021,25511,G
제주,운수 및 창고업,2021,8997,H
제주,숙박 및 음식점업,2021,26418,I
제주,정보통신업,2021,5212,J
제주,금융 및 보험업,2021,10136,K
제주,부동산업,2021,4112,L
제주,"전문, 과학 및 기술 서비스업",2021,7573,M
제주,"사업시설 관리, 사업 지원 및 임대 서비스업",2021,11784,N
제주,"공공행정, 국방 및 사회보장 행정",2021,15642,O
제주,교육 서비스업,2021,18769,P
제주,보건업 및 사회복지 서비스업,2021,25905,Q
제주,"예술, 스포츠 및 여가관련 서비스업",2021,9411,R
제주,"협회 및 단체, 수리 및 기타 개인 서비스업",2021,6844,S
총계,광업,2022,12237,B
총계,제조업,2022,3721724,C
총계,"전기, 가스, 증기 및 공기 조절 공급업",2022,68185,D
총계,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,125624,E
총계,건설업,2022,1470340,F
총계,도매 및 소매업,2022,2269063,G
총계,운수 및 창고업,2022,728219,H
총계,숙박 및 음식점업,2022,1129647,I
총계,정보통신업,2022,774394,J
총계,금융 및 보험업,2022,807346,K
총계,부동산업,2022,429903,L
총계,"전문, 과학 및 기술 서비스업",2022,1250197,M
총계,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,1201737,N
총계,"공공행정, 국방 및 사회보장 행정",2022,898338,O
총계,교육 서비스업,2022,1614040,P
총계,보건업 및 사회복지 서비스업,2022,2219950,Q
총계,"예술, 스포츠 및 여가관련 서비스업",2022,306194,R
총계,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,508984,S
서울,광업,2022,129,B
서울,제조업,2022,187892,C
서울,"전기, 가스, 증기 및 공기 조절 공급업",2022,6302,D
서울,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,10289,E
서울,건설업,2022,383547,F
서울,도매 및 소매업,2022,693468,G
서울,운수 및 창고업,2022,164491,H
서울,숙박 및 음식점업,2022,280341,I
서울,정보통신업,2022,477650,J
서울,금융 및 보험업,2022,295453,K
서울,부동산업,2022,126402,L
서울,"전문, 과학 및 기술 서비스업",2022,551385,M
서울,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,478136,N
서울,"공공행정, 국방 및 사회보장 행정",2022,158579,O
서울,교육 서비스업,2022,348302,P
서울,보건업 및 사회복지 서비스업,2022,437893,Q
서울,"예술, 스포츠 및 여가관련 서비스업",2022,60888,R
서울,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,138451,S
부산,광업,2022,62,B
부산,제조업,2022,174453,C
부산,"전기, 가스, 증기 및 공기 조절 공급업",2022,4049,D
부산,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,7316,E
부산,건설업,2022,91628,F
부산,도매 및 소매업,2022,157215,G
부산,운수 및 창고업,2022,73033,H
부산,숙박 및 음식점업,2022,85650,I
부산,정보통신업,2022,18474,J
부산,금융 및 보험업,2022,57015,K
부산,부동산업,2022,28578,L
부산,"전문, 과학 및 기술 서비스업",2022,47907,M
부산,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,81230,N
부산,"공공행정, 국방 및 사회보장 행정",2022,52161,O
부산,교육 서비스업,2022,92598,P
부산,보건업 및 사회복지 서비스업,2022,161515,Q
부산,"예술, 스포츠 및 여가관련 서비스업",2022,16939,R
부산,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,28518,S
대구,광업,2022,27,B
대구,제조업,2022,136515,C
대구,"전기, 가스, 증기 및 공기 조절 공급업",2022,2650,D
대구,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,4231,E
대구,건설업,2022,52167,F
대구,도매 및 소매업,2022,96367,G
대구,운수 및 창고업,2022,20998,H
대구,숙박 및 음식점업,2022,44038,I
대구,정보통신업,2022,14380,J
대구,금융 및 보험업,2022,30541,K
대구,부동산업,2022,18078,L
대구,"전문, 과학 및 기술 서비스업",2022,27629,M
대구,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,39276,N
대구,"공공행정, 국방 및 사회보장 행정",2022,34018,O
대구,교육 서비스업,2022,72753,P
대구,보건업 및 사회복지 서비스업,2022,115884,Q
대구,"예술, 스포츠 및 여가관련 서비스업",2022,8963,R
대구,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,22323,S
인천,광업,2022,466,B
인천,제조업,2022,225518,C
인천,"전기, 가스, 증기 및 공기 조절 공급업",2022,4021,D
인천,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,7509,E
인천,건설업,2022,56925,F
인천,도매 및 소매업,2022,98577,G
인천,운수 및 창고업,2022,54530,H
인천,숙박 및 음식점업,2022,57948,I
인천,정보통신업,2022,11953,J
인천,금융 및 보험업,2022,30006,K
인천,부동산업,2022,18477,L
인천,"전문, 과학 및 기술 서비스업",2022,37581,M
인천,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,57232,N
인천,"공공행정, 국방 및 사회보장 행정",2022,42577,O
인천,교육 서비스업,2022,74617,P
인천,보건업 및 사회복지 서비스업,2022,126548,Q
인천,"예술, 스포츠 및 여가관련 서비스업",2022,12980,R
인천,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,23490,S
광주,광업,2022,50,B
광주,제조업,2022,78305,C
광주,"전기, 가스, 증기 및 공기 조절 공급업",2022,1430,D
광주,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,2485,E
광주,건설업,2022,59203,F
광주,도매 및 소매업,2022,57886,G
광주,운수 및 창고업,2022,17327,H
광주,숙박 및 음식점업,2022,28559,I
광주,정보통신업,2022,12083,J
광주,금융 및 보험업,2022,21858,K
광주,부동산업,2022,17452,L
광주,"전문, 과학 및 기술 서비스업",2022,19824,M
광주,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,26493,N
광주,"공공행정, 국방 및 사회보장 행정",2022,24042,O
광주,교육 서비스업,2022,50965,P
광주,보건업 및 사회복지 서비스업,2022,81448,Q
광주,"예술, 스포츠 및 여가관련 서비스업",2022,7860,R
광주,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,15042,S
대전,광업,2022,26,B
대전,제조업,2022,57520,C
대전,"전기, 가스, 증기 및 공기 조절 공급업",2022,1656,D
대전,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,4325,E
대전,건설업,2022,44517,F
대전,도매 및 소매업,2022,66710,G
대전,운수 및 창고업,2022,17023,H
대전,숙박 및 음식점업,2022,30456,I
대전,정보통신업,2022,18364,J
대전,금융 및 보험업,2022,20324,K
대전,부동산업,2022,11217,L
대전,"전문, 과학 및 기술 서비스업",2022,53913,M
대전,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,41221,N
대전,"공공행정, 국방 및 사회보장 행정",2022,29362,O
대전,교육 서비스업,2022,55425,P
대전,보건업 및 사회복지 서비스업,2022,68536,Q
대전,"예술, 스포츠 및 여가관련 서비스업",2022,7418,R
대전,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,14747,S
울산,광업,2022,258,B
울산,제조업,2022,165860,C
울산,"전기, 가스, 증기 및 공기 조절 공급업",2022,2575,D
울산,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,2551,E
울산,건설업,2022,30227,F
울산,도매 및 소매업,2022,33394,G
울산,운수 및 창고업,2022,15957,H
울산,숙박 및 음식점업,2022,21676,I
울산,정보통신업,2022,4322,J
울산,금융 및 보험업,2022,11583,K
울산,부동산업,2022,7324,L
울산,"전문, 과학 및 기술 서비스업",2022,17437,M
울산,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,18704,N
울산,"공공행정, 국방 및 사회보장 행정",2022,17408,O
울산,교육 서비스업,2022,29984,P
울산,보건업 및 사회복지 서비스업,2022,40266,Q
울산,"예술, 스포츠 및 여가관련 서비스업",2022,4697,R
울산,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,9753,S
세종,광업,2022,103,B
세종,제조업,2022,20443,C
세종,"전기, 가스, 증기 및 공기 조절 공급업",2022,480,D
세종,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,677,E
세종,건설업,2022,6740,F
세종,도매 및 소매업,2022,7088,G
세종,운수 및 창고업,2022,3783,H
세종,숙박 및 음식점업,2022,7054,I
세종,정보통신업,2022,2636,J
세종,금융 및 보험업,2022,2266,K
세종,부동산업,2022,3979,L
세종,"전문, 과학 및 기술 서비스업",2022,8296,M
세종,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,4550,N
세종,"공공행정, 국방 및 사회보장 행정",2022,23982,O
세종,교육 서비스업,2022,15669,P
세종,보건업 및 사회복지 서비스업,2022,12738,Q
세종,"예술, 스포츠 및 여가관련 서비스업",2022,2394,R
세종,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,2971,S
경기,광업,2022,1513,B
경기,제조업,2022,1234198,C
경기,"전기, 가스, 증기 및 공기 조절 공급업",2022,9589,D
경기,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,32345,E
경기,건설업,2022,286739,F
경기,도매 및 소매업,2022,580899,G
경기,운수 및 창고업,2022,172681,H
경기,숙박 및 음식점업,2022,268813,I
경기,정보통신업,2022,151840,J
경기,금융 및 보험업,2022,137832,K
경기,부동산업,2022,107335,L
경기,"전문, 과학 및 기술 서비스업",2022,304286,M
경기,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,240001,N
경기,"공공행정, 국방 및 사회보장 행정",2022,154237,O
경기,교육 서비스업,2022,412304,P
경기,보건업 및 사회복지 서비스업,2022,481062,Q
경기,"예술, 스포츠 및 여가관련 서비스업",2022,84713,R
경기,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,114819,S
강원,광업,2022,4185,B
강원,제조업,2022,55772,C
강원,"전기, 가스, 증기 및 공기 조절 공급업",2022,3501,D
강원,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,5517,E
강원,건설업,2022,53780,F
강원,도매 및 소매업,2022,44575,G
강원,운수 및 창고업,2022,22402,H
강원,숙박 및 음식점업,2022,41382,I
강원,정보통신업,2022,8274,J
강원,금융 및 보험업,2022,27515,K
강원,부동산업,2022,9919,L
강원,"전문, 과학 및 기술 서비스업",2022,17803,M
강원,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,23235,N
강원,"공공행정, 국방 및 사회보장 행정",2022,45479,O
강원,교육 서비스업,2022,51177,P
강원,보건업 및 사회복지 서비스업,2022,75558,Q
강원,"예술, 스포츠 및 여가관련 서비스업",2022,18943,R
강원,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,16892,S
충북,광업,2022,1085,B
충북,제조업,2022,214963,C
충북,"전기, 가스, 증기 및 공기 조절 공급업",2022,1556,D
충북,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,5986,E
충북,건설업,2022,46569,F
충북,도매 및 소매업,2022,62510,G
충북,운수 및 창고업,2022,20384,H
충북,숙박 및 음식점업,2022,30968,I
충북,정보통신업,2022,7014,J
충북,금융 및 보험업,2022,15692,K
충북,부동산업,2022,10207,L
충북,"전문, 과학 및 기술 서비스업",2022,24178,M
충북,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,30338,N
충북,"공공행정, 국방 및 사회보장 행정",2022,35225,O
충북,교육 서비스업,2022,50293,P
충북,보건업 및 사회복지 서비스업,2022,67299,Q
충북,"예술, 스포츠 및 여가관련 서비스업",2022,8675,R
충북,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,14133,S
충남,광업,2022,760,B
충남,제조업,2022,294839,C
충남,"전기, 가스, 증기 및 공기 조절 공급업",2022,6944,D
충남,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,7220,E
충남,건설업,2022,67116,F
충남,도매 및 소매업,2022,65922,G
충남,운수 및 창고업,2022,24739,H
충남,숙박 및 음식점업,2022,39331,I
충남,정보통신업,2022,6628,J
충남,금융 및 보험업,2022,22679,K
충남,부동산업,2022,11277,L
충남,"전문, 과학 및 기술 서비스업",2022,24677,M
충남,"사업시설 관리, 사업 지원 및 임대 서비스업",2022,37427,N
충남,"공공행정, 국방 및 사회보장 행정",2022,44723,O
충남,교육 서비스업,2022,66651,P
충남,보건업 및 사회복지 서비스업,2022,91954,Q
충남,"예술, 스포츠 및 여가관련 서비스업",2022,9279,R
충남,"협회 및 단체, 수리 및 기타 개인 서비스업",2022,18514,S
전북,광업,2022,713,B
전북,제조업,2022,107804,C
전북,"전기, 가스, 증기 및 공기 조절 공급업",2022,2701,D
전북,"수도, 하수 및 폐기물 처리, 원료 재생업",2022,5506,E
전북,건설업,2022,47457,F
전북,도매 및 소매업,2022,54915,G
전북,운수 및 창고업,2022,19990,H
