year,gender,age,region,value
2021,남성,10대,총계,4143904
2021,남성,20대,총계,3062408
2021,남성,30대,총계,3342958
2021,남성,40대,총계,3958590
2021,남성,50대,총계,4146798
2021,남성,60대,총계,3350051
2021,남성,70대,총계,1618944
2021,남성,80대~,총계,646356
2022,남성,10대,총계,4116030
2022,남성,20대,총계,2895938
2022,남성,30대,총계,3305588
2022,남성,40대,총계,3931033
2022,남성,50대,총계,4157993
2022,남성,60대,총계,3475695
2022,남성,70대,총계,1686580
2022,남성,80대~,총계,716432
2023,남성,10대,총계,4091710
2023,남성,20대,총계,2794382
2023,남성,30대,총계,3301102
2023,남성,40대,총계,3881127
2023,남성,50대,총계,4176466
2023,남성,60대,총계,3625981
2023,남성,70대,총계,1753186
2023,남성,80대~,총계,757913
2021,여성,10대,총계,4116394
2021,여성,20대,총계,3008893
2021,여성,30대,총계,3172294
4021,여성,40대,총계,3876527
2021,여성,50대,총계,4147703
2021,여성,60대,총계,3540405
2021,여성,70대,총계,1953200
2021,여성,80대~,총계,1156645
2022,여성,10대,총계,3914387
2022,여성,20대,총계,2870295
2022,여성,30대,총계,3110675
2022,여성,40대,총계,3851372
2022,여성,50대,총계,4155948
2022,여성,60대,총계,3657925
2022,여성,70대,총계,2010378
2022,여성,80대~,총계,1262647
2023,여성,10대,총계,3828869
2023,여성,20대,총계,2780987
2023,여성,30대,총계,3079579
2023,여성,40대,총계,3786912
2023,여성,50대,총계,4181708
2023,여성,60대,총계,3790740
2023,여성,70대,총계,2073935
2023,여성,80대~,총계,1318154
2021,남성,10대,서울,648365
2021,남성,20대,서울,609668
2021,남성,30대,서울,688200
2021,남성,40대,서울,692410
2021,남성,50대,서울,694815
2021,남성,60대,서울,579237
2021,남성,70대,서울,305672
2021,남성,80대~,서울,116196
2022,남성,10대,서울,620491
2022,남성,20대,서울,583283
2022,남성,30대,서울,682484
2022,남성,40대,서울,681215
2022,남성,50대,서울,694225
2022,남성,60대,서울,588293
2022,남성,70대,서울,314641
2022,남성,80대~,서울,130488
2023,남성,10대,서울,596171
